type Channel NJets MET Mll LepDeltaPhi METLLDeltaPhi SumLepPt BTags weight
1 2 0 44.34 89.42 2.53 2.64 28.16 0 0.00412
1 2 0 59.22 35.45 1.32 -2.39 43.69 0 0.00782
1 2 0 67.88 68.91 1.30 2.97 80.07 0 0.00804
1 1 0 56.41 193.48 2.05 2.75 66.67 0 0.00924
1 1 1 24.07 276.92 2.80 0.66 37.53 0 0.02233
1 2 1 23.65 23.64 0.40 2.43 90.39 0 0.00596
1 2 0 93.39 141.14 0.66 3.07 62.01 0 0.02242
1 0 0 72.20 69.84 2.07 2.68 52.55 0 0.02096
1 1 0 72.97 79.04 2.53 2.97 47.52 0 0.01406
1 1 0 73.35 67.46 1.25 -2.93 73.82 0 0.01659
1 2 0 22.75 61.83 3.03 1.24 3.46 0 0.01137
1 2 0 44.28 192.04 2.90 2.48 51.13 0 0.01728
1 1 1 63.02 114.57 3.04 -1.77 15.75 0 0.01485
1 2 0 91.77 65.26 1.15 -1.81 54.27 0 0.01821
1 2 0 75.71 73.36 2.25 -3.06 33.01 0 0.00423
1 1 1 47.94 86.21 2.43 0.04 31.82 0 0.00309
1 0 0 6.97 108.94 2.52 -1.07 31.25 0 0.00186
1 2 0 12.39 171.82 2.02 -2.74 52.79 0 0.00178
1 0 2 71.26 159.11 2.83 -2.94 75.83 0 0.01067
1 1 0 58.96 187.67 2.75 2.80 47.91 0 0.00026
1 1 0 16.89 72.76 3.09 -1.98 3.62 0 0.00544
